"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group","ensembl_gene_id","Gene_name"
"ENSG00000000005.6",1.167,-0.306,1.102,-0.278,0.781,1,"insig","ENSG00000000005","TNMD"
"ENSG00000000457.14",786.223,0.513,0.254,2.02,0.043,0.829,"insig","ENSG00000000457","SCYL3"
"ENSG00000000460.17",234.218,-0.041,0.282,-0.146,0.884,1,"insig","ENSG00000000460","FIRRM"
"ENSG00000000938.13",338.382,-0.046,0.388,-0.118,0.906,1,"insig","ENSG00000000938","FGR"
"ENSG00000001036.14",2150.692,-0.267,0.23,-1.159,0.246,1,"insig","ENSG00000001036","FUCA2"
"ENSG00000001084.13",3262.148,-0.73,0.516,-1.415,0.157,0.997,"insig","ENSG00000001084","GCLC"
"ENSG00000001460.18",283.843,0.042,0.265,0.159,0.874,1,"insig","ENSG00000001460","STPG1"
"ENSG00000001461.17",823.027,-0.186,0.257,-0.722,0.47,1,"insig","ENSG00000001461","NIPAL3"
"ENSG00000001497.18",1827.717,-0.139,0.132,-1.05,0.294,1,"insig","ENSG00000001497","LAS1L"
"ENSG00000001561.7",987.761,0.125,0.27,0.463,0.643,1,"insig","ENSG00000001561","ENPP4"
"ENSG00000001617.12",854.375,-0.823,0.359,-2.292,0.022,0.647,"insig","ENSG00000001617","SEMA3F"
"ENSG00000001629.10",1791.779,-0.475,0.207,-2.291,0.022,0.647,"insig","ENSG00000001629","ANKIB1"
"ENSG00000002016.18",449.856,0.34,0.253,1.341,0.18,1,"insig","ENSG00000002016","RAD52"
"ENSG00000002330.14",517.336,0.056,0.276,0.202,0.84,1,"insig","ENSG00000002330","BAD"
"ENSG00000002586.20",6062.349,-0.218,0.273,-0.798,0.425,1,"insig","ENSG00000002586","CD99"
"ENSG00000002587.10",773.99,-0.168,0.52,-0.323,0.747,1,"insig","ENSG00000002587","HS3ST1"
"ENSG00000002726.21",378.309,-0.276,0.931,-0.296,0.767,1,"insig","ENSG00000002726","AOC1"
"ENSG00000002745.13",3.972,-1.003,0.54,-1.858,0.063,0.901,"insig","ENSG00000002745","WNT16"
"ENSG00000002746.15",22.877,-1.278,0.567,-2.253,0.024,0.667,"insig","ENSG00000002746","HECW1"
"ENSG00000002919.15",904.729,0.059,0.186,0.317,0.751,1,"insig","ENSG00000002919","SNX11"
"ENSG00000002933.9",14909.496,-0.384,0.711,-0.54,0.589,1,"insig","ENSG00000002933","TMEM176A"
"ENSG00000003056.8",2113.728,0.09,0.239,0.375,0.708,1,"insig","ENSG00000003056","M6PR"
"ENSG00000003147.19",1233.496,-0.112,0.346,-0.322,0.747,1,"insig","ENSG00000003147","ICA1"
"ENSG00000003249.15",2014.727,0.847,0.434,1.952,0.051,0.859,"insig","ENSG00000003249","DBNDD1"
"ENSG00000003436.16",5803.156,0.013,0.659,0.02,0.984,1,"insig","ENSG00000003436","TFPI"
"ENSG00000003509.16",535.71,-0.281,0.167,-1.683,0.092,0.945,"insig","ENSG00000003509","NDUFAF7"
"ENSG00000003756.17",1874.868,-0.03,0.208,-0.146,0.884,1,"insig","ENSG00000003756","RBM5"
"ENSG00000003987.14",56.125,-0.224,0.261,-0.858,0.391,1,"insig","ENSG00000003987","MTMR7"
"ENSG00000003989.18",7671.438,-0.228,0.836,-0.273,0.785,1,"insig","ENSG00000003989","SLC7A2"
"ENSG00000004059.11",3856.098,0.142,0.19,0.745,0.457,1,"insig","ENSG00000004059","ARF5"
"ENSG00000004139.14",270.447,-0.251,0.345,-0.727,0.467,1,"insig","ENSG00000004139","SARM1"
"ENSG00000004142.12",7641.091,-0.024,0.246,-0.098,0.922,1,"insig","ENSG00000004142","POLDIP2"
"ENSG00000004399.13",3566.21,0.098,0.233,0.421,0.673,1,"insig","ENSG00000004399","PLXND1"
"ENSG00000004468.13",216.509,0.012,0.653,0.018,0.986,1,"insig","ENSG00000004468","CD38"
"ENSG00000004478.8",4801.867,0.063,0.216,0.293,0.77,1,"insig","ENSG00000004478","FKBP4"
"ENSG00000004534.15",2749.978,-0.124,0.25,-0.497,0.619,1,"insig","ENSG00000004534","RBM6"
"ENSG00000004660.15",199.645,-0.545,0.395,-1.378,0.168,1,"insig","ENSG00000004660","CAMKK1"
"ENSG00000004700.16",577.406,-0.318,0.33,-0.964,0.335,1,"insig","ENSG00000004700","RECQL"
"ENSG00000004766.17",771.371,-0.428,0.164,-2.607,0.009,0.41,"insig","ENSG00000004766","VPS50"
"ENSG00000004776.13",130.132,0.788,0.49,1.609,0.108,0.952,"insig","ENSG00000004776","HSPB6"
"ENSG00000004779.10",2136.979,-0.082,0.227,-0.361,0.718,1,"insig","ENSG00000004779","NDUFAB1"
"ENSG00000004799.8",7744.113,-0.565,0.777,-0.727,0.467,1,"insig","ENSG00000004799","PDK4"
"ENSG00000004809.14",2.096,0.053,0.705,0.075,0.94,1,"insig","ENSG00000004809","SLC22A16"
"ENSG00000004838.14",80.499,0.538,0.571,0.942,0.346,1,"insig","ENSG00000004838","ZMYND10"
"ENSG00000004848.8",4.211,-0.398,1.22,-0.327,0.744,1,"insig","ENSG00000004848","ARX"
"ENSG00000004864.14",3300.818,-0.233,0.511,-0.456,0.648,1,"insig","ENSG00000004864","SLC25A13"
"ENSG00000004866.22",1023.969,-0.003,0.317,-0.01,0.992,1,"insig","ENSG00000004866","ST7"
"ENSG00000004897.12",1798.423,-0.274,0.121,-2.262,0.024,0.667,"insig","ENSG00000004897","CDC27"
"ENSG00000004948.16",2.522,-1.99,0.587,-3.389,0.001,0.135,"insig","ENSG00000004948","CALCR"
